[Sat Jun 01 12:46:40.445261 2024] [php:warn] [pid 24976:tid 1904] [client ::1:61317] PHP Warning:  Undefined variable $y in C:\\web\\spu221\\www\\basics.php on line 42, referer: http://spu-221.loc/
[Sat Jun 01 12:50:55.271960 2024] [php:error] [pid 24976:tid 1900] [client ::1:61328] PHP Parse error:  Unclosed '{' on line 60 in C:\\web\\spu221\\www\\basics.php on line 64, referer: http://spu-221.loc/
[Sat Jun 01 12:50:57.723118 2024] [php:error] [pid 24976:tid 1900] [client ::1:61328] PHP Parse error:  Unclosed '{' on line 60 in C:\\web\\spu221\\www\\basics.php on line 64, referer: http://spu-221.loc/
[Sat Jun 01 12:50:58.775983 2024] [php:error] [pid 24976:tid 1900] [client ::1:61328] PHP Parse error:  Unclosed '{' on line 60 in C:\\web\\spu221\\www\\basics.php on line 64, referer: http://spu-221.loc/
[Sat Jun 01 12:52:33.287121 2024] [php:error] [pid 24976:tid 1904] [client ::1:61360] PHP Parse error:  Unclosed '{' on line 60 in C:\\web\\spu221\\www\\basics.php on line 64, referer: http://spu-221.loc/
[Sat Jun 01 12:52:53.126576 2024] [php:warn] [pid 24976:tid 1900] [client ::1:61361] PHP Warning:  Undefined variable $y in C:\\web\\spu221\\www\\basics.php on line 42, referer: http://spu-221.loc/
[Sat Jun 01 12:53:02.052305 2024] [php:error] [pid 24976:tid 1904] [client ::1:61362] PHP Parse error:  Unclosed '{' on line 60 in C:\\web\\spu221\\www\\basics.php on line 64, referer: http://spu-221.loc/
[Sat Jun 01 12:55:15.513977 2024] [php:warn] [pid 24976:tid 1900] [client ::1:61377] PHP Warning:  Undefined variable $y in C:\\web\\spu221\\www\\basics.php on line 42, referer: http://spu-221.loc/
[Sat Jun 01 12:58:11.107400 2024] [php:warn] [pid 24976:tid 1904] [client ::1:61403] PHP Warning:  Undefined variable $y in C:\\web\\spu221\\www\\basics.php on line 42, referer: http://spu-221.loc/
[Sat Jun 01 12:58:54.673343 2024] [php:warn] [pid 24976:tid 1900] [client ::1:61404] PHP Warning:  Undefined variable $y in C:\\web\\spu221\\www\\basics.php on line 42, referer: http://spu-221.loc/
[Fri Jun 07 17:34:50.864178 2024] [php:warn] [pid 19860:tid 1856] [client ::1:61193] PHP Warning:  Undefined variable $y in C:\\web\\spu221\\www\\basics.php on line 42, referer: http://spu-221.loc/
[Fri Jun 07 18:29:20.936151 2024] [php:warn] [pid 19860:tid 1864] [client ::1:61852] PHP Warning:  Undefined variable $y in C:\\web\\spu221\\www\\basics.php on line 42, referer: http://spu-221.loc/
[Fri Jun 07 18:29:53.582677 2024] [php:error] [pid 19860:tid 1864] [client ::1:61866] script 'C:/web/spu221/www/hmw1.php' not found or unable to stat, referer: http://spu-221.loc/
[Fri Jun 07 18:32:38.160928 2024] [php:error] [pid 19860:tid 1856] [client ::1:61954] script 'C:/web/spu221/www/hmw1.php' not found or unable to stat, referer: http://spu-221.loc/
[Fri Jun 07 18:32:40.706680 2024] [php:error] [pid 19860:tid 1856] [client ::1:61954] script 'C:/web/spu221/www/hmw1.php' not found or unable to stat, referer: http://spu-221.loc/
[Fri Jun 07 18:34:03.183145 2024] [php:error] [pid 19860:tid 1864] [client ::1:62005] script 'C:/web/spu221/www/hmw1.php' not found or unable to stat, referer: http://spu-221.loc/
[Fri Jun 07 18:34:04.776539 2024] [php:error] [pid 19860:tid 1864] [client ::1:62005] script 'C:/web/spu221/www/hmw1.php' not found or unable to stat, referer: http://spu-221.loc/
[Fri Jun 07 18:34:05.228653 2024] [php:error] [pid 19860:tid 1864] [client ::1:62005] script 'C:/web/spu221/www/hmw1.php' not found or unable to stat, referer: http://spu-221.loc/
[Fri Jun 07 18:34:05.398480 2024] [php:error] [pid 19860:tid 1864] [client ::1:62005] script 'C:/web/spu221/www/hmw1.php' not found or unable to stat, referer: http://spu-221.loc/
[Fri Jun 07 18:34:07.167315 2024] [php:error] [pid 19860:tid 1864] [client ::1:62005] script 'C:/web/spu221/www/hmw1.php' not found or unable to stat, referer: http://spu-221.loc/
[Fri Jun 07 18:34:07.627272 2024] [php:error] [pid 19860:tid 1864] [client ::1:62005] script 'C:/web/spu221/www/hmw1.php' not found or unable to stat, referer: http://spu-221.loc/
[Fri Jun 07 18:34:07.804564 2024] [php:error] [pid 19860:tid 1864] [client ::1:62005] script 'C:/web/spu221/www/hmw1.php' not found or unable to stat, referer: http://spu-221.loc/
[Fri Jun 07 18:34:07.983239 2024] [php:error] [pid 19860:tid 1864] [client ::1:62005] script 'C:/web/spu221/www/hmw1.php' not found or unable to stat, referer: http://spu-221.loc/
[Fri Jun 07 18:34:09.098133 2024] [php:error] [pid 19860:tid 1864] [client ::1:62005] script 'C:/web/spu221/www/hmw1.php' not found or unable to stat, referer: http://spu-221.loc/
[Fri Jun 07 18:34:10.352164 2024] [php:error] [pid 19860:tid 1864] [client ::1:62005] script 'C:/web/spu221/www/hmw1.php' not found or unable to stat, referer: http://spu-221.loc/
[Fri Jun 07 18:35:36.707041 2024] [php:error] [pid 19860:tid 1856] [client ::1:62068] script 'C:/web/spu221/www/hmw1.php' not found or unable to stat, referer: http://spu-221.loc/
[Fri Jun 07 18:35:40.622556 2024] [php:error] [pid 19860:tid 1856] [client ::1:62068] script 'C:/web/spu221/www/hmw1.php' not found or unable to stat, referer: http://spu-221.loc/
[Fri Jun 07 18:37:34.074918 2024] [php:error] [pid 19860:tid 1864] [client ::1:62125] script 'C:/web/spu221/www/hmw1.php' not found or unable to stat, referer: http://spu-221.loc/
[Fri Jun 07 18:38:53.276797 2024] [php:warn] [pid 19860:tid 1856] [client ::1:62168] PHP Warning:  Undefined variable $y in C:\\web\\spu221\\www\\basics.php on line 42, referer: http://spu-221.loc/
[Fri Jun 07 18:38:56.059233 2024] [php:error] [pid 19860:tid 1856] [client ::1:62168] script 'C:/web/spu221/www/hmw1.php' not found or unable to stat, referer: http://spu-221.loc/
[Fri Jun 07 18:56:43.749051 2024] [php:error] [pid 19860:tid 1864] [client ::1:62711] script 'C:/web/spu221/www/hmw1.php' not found or unable to stat, referer: http://spu-221.loc/
[Fri Jun 07 18:56:44.838670 2024] [php:error] [pid 19860:tid 1864] [client ::1:62711] script 'C:/web/spu221/www/hmw1.php' not found or unable to stat, referer: http://spu-221.loc/
[Fri Jun 07 18:56:45.198914 2024] [php:error] [pid 19860:tid 1864] [client ::1:62711] script 'C:/web/spu221/www/hmw1.php' not found or unable to stat, referer: http://spu-221.loc/
[Fri Jun 07 18:56:45.364378 2024] [php:error] [pid 19860:tid 1864] [client ::1:62711] script 'C:/web/spu221/www/hmw1.php' not found or unable to stat, referer: http://spu-221.loc/
[Fri Jun 07 18:56:45.535026 2024] [php:error] [pid 19860:tid 1864] [client ::1:62711] script 'C:/web/spu221/www/hmw1.php' not found or unable to stat, referer: http://spu-221.loc/
[Fri Jun 07 18:56:49.232564 2024] [php:error] [pid 19860:tid 1864] [client ::1:62711] script 'C:/web/spu221/www/hmw1.php' not found or unable to stat, referer: http://spu-221.loc/
[Fri Jun 07 18:57:11.015087 2024] [php:error] [pid 11096:tid 1876] [client ::1:62728] script 'C:/web/spu221/www/hmw1.php' not found or unable to stat, referer: http://spu-221.loc/
[Fri Jun 07 18:57:13.129534 2024] [php:error] [pid 11096:tid 1876] [client ::1:62728] script 'C:/web/spu221/www/hmw1.php' not found or unable to stat, referer: http://spu-221.loc/
[Fri Jun 07 18:57:15.219099 2024] [php:warn] [pid 11096:tid 1876] [client ::1:62728] PHP Warning:  Undefined variable $y in C:\\web\\spu221\\www\\basics.php on line 42, referer: http://spu-221.loc/
[Fri Jun 07 18:57:18.082160 2024] [php:error] [pid 11096:tid 1876] [client ::1:62728] script 'C:/web/spu221/www/hmw1.php' not found or unable to stat, referer: http://spu-221.loc/
